Gender,Age,Senior Citizen,Married,Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Churn Label,CLTV,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check
1,71,1,0,0,0,0,35,1,20.83,1,1,19,0,0,1,0,1,1,0,0,1,99.05,3395.8,0.0,120,729.05,1,1,2074,0,0,0,0
1,80,1,0,0,0,0,2,1,26.62,0,1,11,0,0,0,0,0,0,0,1,0,44.95,85.15,0.0,0,53.24,2,1,5900,0,0,1,0
1,66,1,0,0,0,0,8,1,11.57,0,1,27,1,0,0,1,1,1,1,1,0,100.3,832.35,0.0,0,92.56,1,1,5084,0,0,1,0
1,73,1,1,0,1,2,44,0,0.0,0,1,28,0,1,0,0,0,0,0,1,1,30.35,1359.7,0.0,0,0.0,1,1,4829,0,0,0,0
1,77,1,1,0,1,1,62,1,7.11,1,1,16,0,1,1,0,1,1,1,1,1,103.75,6383.35,0.0,0,440.82,1,1,5052,1,0,0,0
0,76,1,1,0,1,1,33,1,33.19,1,1,15,0,1,0,0,0,0,0,1,1,80.6,2656.5,0.0,0,1095.27,2,1,3601,0,0,0,0
0,65,1,0,0,0,0,4,1,49.5,1,1,23,0,0,0,0,1,1,1,1,1,94.3,424.45,0.0,0,198.0,2,1,5419,0,0,0,0
1,75,1,1,0,1,1,27,1,10.6,1,1,23,0,0,0,0,0,0,0,1,1,75.5,1893.95,0.0,0,286.2,1,1,2377,0,0,0,0
1,75,1,0,0,0,0,8,1,40.45,1,1,29,0,0,1,0,1,1,0,1,1,100.6,819.4,0.0,0,323.6,1,1,5906,0,0,0,0
0,68,1,1,0,1,1,3,1,25.77,0,1,2,1,0,0,1,1,0,0,1,1,88.3,273.75,0.0,0,77.31,1,1,4486,0,0,0,1
0,71,1,0,0,0,0,8,1,42.93,0,1,9,0,0,1,0,1,1,0,1,1,92.1,729.95,0.0,0,343.44,1,1,5662,0,0,0,0
1,74,1,0,0,0,0,14,1,11.31,0,1,24,0,0,0,0,1,1,0,1,0,90.45,1266.1,0.0,0,158.34,3,1,4777,0,0,1,0
1,77,1,0,0,0,0,12,0,0.0,0,1,10,0,0,1,1,0,1,0,1,1,43.65,526.95,0.0,0,0.0,1,1,2437,0,0,0,0
0,73,1,0,0,0,0,13,1,40.37,0,1,21,0,0,1,0,0,0,0,1,1,74.3,940.35,0.0,0,524.81,1,1,2995,0,0,0,0
0,68,1,0,0,0,0,11,1,3.96,0,1,27,0,0,0,0,1,1,0,1,0,89.7,1047.7,0.0,0,43.56,2,1,2202,0,0,0,0
1,74,1,1,0,1,1,17,1,28.18,1,1,16,0,0,1,0,1,1,0,1,1,100.45,1622.45,0.0,0,479.06,3,1,5508,0,0,1,0
1,65,1,1,0,1,1,39,1,33.25,1,1,26,0,1,1,0,1,1,1,1,1,105.65,4284.8,0.0,0,1296.75,3,1,4687,0,0,0,0
0,73,1,1,0,1,5,11,1,17.25,1,1,27,0,0,1,1,1,1,0,1,1,104.05,1133.65,0.0,0,189.75,3,1,4553,0,0,0,0
0,74,1,1,0,1,1,3,1,3.29,0,1,9,0,0,0,0,1,0,0,1,1,80.4,224.05,0.0,0,9.87,2,1,3834,0,0,0,0
1,80,1,0,0,0,0,21,1,34.62,0,1,14,0,0,1,0,1,0,0,1,1,60.05,1236.15,0.0,0,727.02,1,1,4716,0,0,0,0
0,76,1,0,0,0,0,16,1,38.75,1,1,16,0,0,0,0,1,1,0,1,1,96.15,1529.2,0.0,0,620.0,2,1,5913,0,0,0,0
0,73,1,0,0,0,0,46,1,6.13,0,1,30,0,1,0,0,1,1,0,1,0,95.25,4424.2,0.0,0,281.98,2,1,3180,1,0,1,0
0,70,1,1,0,1,1,68,1,24.13,1,1,24,0,1,0,0,0,1,0,1,1,89.6,6127.6,0.0,0,1640.84,1,1,5651,0,0,0,0
1,75,1,1,0,1,1,7,1,13.63,0,1,27,0,0,0,0,1,1,0,1,1,89.5,676.7,0.0,0,95.41,2,1,3077,0,0,0,0
1,74,1,1,0,1,1,15,1,45.25,1,1,22,0,0,0,0,0,1,0,1,1,85.6,1345.55,0.0,0,678.75,1,1,4981,0,0,0,0
1,76,1,0,0,0,0,16,1,19.18,1,1,22,0,0,0,0,1,0,0,1,1,86.6,1281.0,0.0,0,306.88,3,1,2508,0,0,0,0
0,75,1,0,0,0,0,1,1,29.68,0,1,18,0,0,0,0,0,0,0,1,1,69.25,69.25,0.0,0,29.68,2,1,4371,0,0,0,0
0,74,1,0,0,0,0,1,0,0.0,0,1,5,0,0,0,0,0,0,0,1,1,25.2,25.2,0.0,0,0.0,1,1,5688,0,0,0,0
0,73,1,0,0,0,0,13,1,19.03,1,1,24,0,0,0,0,1,1,1,1,1,95.05,1290.0,0.0,0,247.39,1,1,2230,0,0,0,0
0,69,1,0,0,0,0,1,1,20.06,0,1,24,0,0,0,0,1,0,0,1,1,79.2,79.2,0.0,0,20.06,3,1,4363,0,0,0,0
0,75,1,1,0,1,1,34,1,2.88,1,1,4,0,1,1,0,0,1,0,1,1,94.25,3217.55,0.0,0,97.92,1,1,3369,0,0,0,0
0,65,1,0,0,0,0,4,1,12.68,0,1,10,0,1,1,0,1,1,1,1,1,99.8,442.85,0.0,0,50.72,1,1,2268,0,0,1,0
0,77,1,0,0,0,0,2,1,19.27,1,1,18,0,0,0,0,1,1,0,1,1,93.85,170.85,0.0,0,38.54,3,1,4193,0,0,0,0
1,67,1,0,0,0,0,9,1,30.8,1,1,18,0,0,0,0,0,1,0,1,1,84.4,732.5,0.0,0,277.2,2,1,5745,0,0,1,0
0,78,1,0,0,0,0,5,1,42.33,0,1,9,0,0,1,0,0,0,0,1,1,75.55,349.65,0.0,0,211.65,1,1,4028,0,0,1,0
1,65,1,0,0,0,0,22,1,40.18,1,1,8,0,0,0,0,1,1,1,0,1,96.7,2082.95,0.0,100,883.96,1,1,4458,0,0,0,0
1,74,1,0,0,0,0,19,1,39.97,1,1,9,0,1,0,0,1,0,0,1,1,88.2,1775.8,0.0,0,759.43,1,1,5683,0,0,0,0
1,70,1,0,0,0,0,15,1,46.38,1,1,19,0,0,0,0,0,0,0,1,0,75.65,1146.65,0.0,0,695.7,3,1,2099,0,0,0,0
1,69,1,0,0,0,0,1,1,11.34,1,1,20,0,0,0,0,0,0,0,1,1,74.7,74.7,0.0,0,11.34,1,1,3348,0,0,0,0
0,76,1,0,0,0,0,1,0,0.0,0,1,26,0,0,0,0,0,0,0,0,1,25.8,25.8,0.0,20,0.0,1,1,3884,0,0,0,1
1,71,1,0,0,0,0,10,1,41.37,1,1,14,0,0,0,0,1,1,0,1,1,95.35,898.35,0.0,0,413.7,1,1,5353,0,0,0,0
0,76,1,0,0,0,0,3,1,30.14,0,1,6,0,0,0,0,0,0,0,0,0,45.0,127.1,0.0,10,90.42,3,1,4145,0,0,0,0
1,77,1,1,0,1,1,12,1,6.97,0,1,19,0,0,0,0,0,1,0,1,1,80.45,950.2,0.0,0,83.64,2,1,5374,0,0,0,0
1,74,1,0,0,0,0,2,1,6.51,0,1,11,0,1,0,0,0,0,0,1,1,74.7,165.4,0.0,0,13.02,2,1,2803,0,0,0,0
1,77,1,0,0,0,0,1,1,49.6,1,1,20,0,0,1,0,1,0,0,0,1,88.8,88.8,0.0,10,49.6,1,1,3106,0,0,0,0
1,76,1,1,0,1,1,13,1,1.47,0,1,5,0,1,0,1,0,1,0,1,1,89.05,1169.35,0.0,0,19.11,1,1,3861,0,0,0,0
0,77,1,0,0,0,0,23,1,31.17,0,1,23,0,1,0,0,1,1,0,1,1,94.75,2293.6,0.0,0,716.9100000000001,2,1,2740,0,0,0,0
0,80,1,1,0,1,1,17,1,36.82,1,1,6,1,0,1,0,0,0,0,1,1,85.35,1463.45,0.0,0,625.94,1,1,3209,0,0,0,0
1,68,1,0,0,0,0,17,1,40.93,0,1,2,0,0,0,0,0,0,0,1,1,45.05,770.6,0.0,0,695.81,1,1,3797,0,0,0,0
0,79,1,0,0,0,0,42,1,9.53,1,1,17,0,0,0,0,1,0,0,1,1,84.65,3541.35,0.0,0,400.26,2,1,4871,0,0,0,0
1,65,1,0,0,0,0,1,1,42.3,0,1,16,0,0,0,0,1,0,0,1,1,79.1,79.1,0.0,0,42.3,3,1,5001,0,0,0,0
1,68,1,0,0,0,0,1,1,39.78,0,1,12,0,0,1,0,0,0,0,1,1,50.15,50.15,0.0,0,39.78,2,1,3438,0,0,0,1
0,72,1,0,0,0,0,1,1,34.51,0,1,15,0,0,0,0,0,0,0,1,1,69.6,69.6,0.0,0,34.51,1,1,3438,0,0,0,0
0,66,1,0,0,0,0,41,1,27.95,1,1,23,1,1,1,0,1,1,1,1,1,113.2,4689.5,0.0,0,1145.95,1,1,3380,0,0,0,0
1,68,1,0,0,0,0,13,1,26.11,0,1,4,0,0,0,0,1,1,1,0,1,90.5,1201.15,29.84,140,339.43,1,1,5394,0,0,0,0
1,69,1,1,0,1,1,32,1,5.99,1,1,23,0,0,0,0,0,1,1,1,1,85.0,2642.05,49.57,0,191.68,1,1,4584,0,0,0,0
1,76,1,1,0,1,1,32,1,49.6,1,1,10,0,0,0,0,0,1,1,1,0,85.3,2661.1,0.0,0,1587.2,1,1,2712,0,0,0,0
1,70,1,1,0,1,1,57,0,0.0,0,1,3,0,0,0,0,1,1,1,1,1,44.85,2572.95,12.07,0,0.0,2,1,5172,0,0,0,0
1,71,1,0,0,0,0,1,1,15.28,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.28,2,1,4499,0,0,0,0
1,75,1,0,0,0,0,1,0,0.0,0,1,26,0,1,1,0,0,1,0,1,1,43.3,43.3,0.0,0,0.0,3,1,4972,0,0,0,0
0,67,1,0,0,0,0,38,1,26.1,0,1,27,1,1,0,0,0,0,0,1,1,57.15,2250.65,0.0,0,991.8,1,1,3110,0,0,1,0
0,65,1,1,0,1,1,35,1,15.98,1,1,22,1,1,0,1,1,0,0,1,1,100.5,3653.35,0.0,0,559.3000000000001,1,1,4745,0,0,0,0
0,80,1,0,0,0,0,1,1,15.24,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.24,1,1,2740,0,0,1,0
1,71,1,1,0,1,1,30,1,4.65,0,1,29,0,1,0,0,0,0,0,1,1,50.4,1527.5,0.0,0,139.5,3,1,4795,0,0,0,0
0,70,1,0,0,0,0,5,1,12.27,0,1,20,0,0,0,0,0,1,0,1,0,78.95,378.4,0.0,0,61.35,3,1,4054,0,0,0,0
1,73,1,0,0,0,0,1,1,30.17,1,1,6,0,0,0,0,1,1,0,1,1,93.55,93.55,0.0,0,30.17,1,1,5536,0,0,0,0
1,78,1,1,0,1,1,58,1,49.38,1,1,19,1,1,1,0,1,1,0,1,1,108.85,6287.25,0.0,0,2864.04,1,1,4739,1,0,0,0
0,76,1,0,0,0,0,16,1,17.51,1,1,7,0,0,0,0,1,0,0,1,1,84.75,1350.15,0.0,0,280.16,2,1,5136,0,0,0,0
0,73,1,0,0,0,0,1,1,22.5,0,1,27,0,0,0,0,0,0,0,0,1,69.95,69.95,0.0,10,22.5,2,1,3208,0,0,0,0
0,68,1,1,0,1,1,5,1,47.28,1,1,11,0,1,0,0,0,0,0,0,1,81.0,371.65,40.64,10,236.4,1,1,4287,0,0,0,0
1,79,1,0,0,0,0,21,1,42.27,0,1,7,0,0,1,0,1,1,0,1,1,96.8,2030.3,10.2,0,887.6700000000001,1,1,4317,0,0,0,0
0,67,1,0,0,0,0,43,1,31.83,0,1,10,1,1,0,1,1,1,0,1,1,108.15,4600.7,0.0,0,1368.6899999999998,1,1,2833,0,0,1,0
0,69,1,1,0,1,1,32,1,33.74,1,1,6,0,0,0,0,1,1,0,1,1,93.2,2931.0,17.88,0,1079.68,3,1,5247,0,0,0,0
0,72,1,0,0,0,0,1,1,18.2,0,1,13,0,0,0,0,0,0,0,1,1,70.55,70.55,0.0,0,18.2,3,1,2146,0,0,0,0
1,75,1,1,0,1,1,29,1,25.78,1,1,28,0,0,1,0,1,1,1,0,1,98.5,3004.15,37.55,40,747.62,3,1,5137,0,0,0,0
1,67,1,1,0,1,1,13,1,31.7,1,1,6,0,0,0,0,1,1,1,1,1,95.25,1233.65,48.09,0,412.1,1,1,2982,0,0,0,0
1,72,1,1,0,1,1,7,1,8.92,1,1,17,0,0,0,0,0,0,0,1,1,74.4,527.9,32.46,0,62.44,3,1,4969,0,0,1,0
0,68,1,0,0,0,0,2,1,21.57,1,1,28,0,0,1,0,0,1,1,1,1,88.55,179.25,0.0,0,43.14,1,1,3685,0,0,0,0
0,68,1,0,0,0,0,1,1,43.61,0,1,2,0,0,0,0,1,1,1,1,1,91.3,91.3,0.0,0,43.61,3,1,2371,0,0,0,0
1,75,1,1,0,1,1,7,1,16.05,0,1,22,0,0,0,0,0,0,0,1,1,70.1,467.55,20.23,0,112.35,2,1,3669,0,0,1,0
1,74,1,1,0,1,1,57,1,49.91,1,1,21,0,1,1,0,0,1,0,1,1,95.25,5427.05,12.59,0,2844.87,2,1,6259,0,0,0,0
0,78,1,1,0,1,4,1,1,17.35,1,1,23,0,0,1,0,1,1,0,1,1,100.8,100.8,0.0,0,17.35,1,1,3128,0,0,0,0
1,66,1,1,0,1,2,17,1,1.05,0,1,8,0,1,0,0,0,0,0,1,1,76.45,1233.4,0.0,0,17.85,1,1,3266,0,0,0,0
0,73,1,0,0,0,0,3,1,18.38,0,1,20,0,0,1,0,1,0,0,1,1,86.85,220.95,0.0,0,55.14,2,1,3561,0,0,0,0
1,79,1,1,0,1,1,66,1,28.86,1,1,25,0,0,1,0,1,1,0,1,1,99.5,6822.15,0.0,0,1904.76,1,1,4479,0,0,1,0
1,69,1,1,0,1,1,69,1,48.88,1,1,4,0,1,1,1,1,1,0,1,1,108.4,7318.2,0.0,0,3372.7200000000003,3,1,4708,0,1,0,0
0,65,1,1,0,1,2,15,1,44.13,1,1,3,0,0,1,1,0,0,0,0,1,83.05,1258.3,0.0,110,661.95,3,1,2596,0,0,0,0
0,68,1,0,0,0,0,56,1,34.58,1,1,4,0,1,1,0,1,1,0,1,1,104.75,5510.65,0.0,0,1936.48,3,1,5605,1,0,0,0
0,79,1,0,0,0,0,21,1,21.15,1,1,9,0,0,0,0,1,1,0,1,1,94.25,1973.75,0.0,0,444.15,2,1,4819,0,0,0,0
0,80,1,0,0,0,0,1,1,47.97,0,1,8,0,0,0,0,0,0,0,1,1,70.15,70.15,0.0,0,47.97,2,1,2825,0,0,0,0
1,77,1,1,0,1,3,32,1,7.92,1,1,3,0,1,1,0,1,1,0,1,0,106.35,3520.75,0.0,0,253.44,2,1,4113,0,0,0,0
0,65,1,1,0,1,1,40,1,49.5,1,1,20,0,0,0,0,1,1,1,1,1,94.55,3640.45,0.0,0,1980.0,1,1,5676,0,0,1,0
1,66,1,0,0,0,0,2,0,0.0,0,1,6,0,0,0,0,0,0,0,1,1,24.45,47.5,0.0,0,0.0,3,1,5573,0,0,1,0
1,75,1,0,0,0,0,7,1,39.51,1,1,13,0,0,0,0,1,0,0,0,1,84.8,546.95,0.0,0,276.57,3,1,2015,0,0,0,0
0,74,1,0,0,0,0,31,1,39.36,1,1,4,0,1,0,0,1,1,0,1,1,99.95,3186.65,0.0,0,1220.16,3,1,5362,0,0,0,0
0,80,1,0,0,0,0,14,1,29.96,1,1,7,0,1,1,0,1,1,0,1,1,104.85,1531.4,0.0,0,419.44,1,1,2292,0,0,0,0
1,74,1,0,0,0,0,15,1,23.53,1,1,9,0,0,0,0,0,0,0,1,1,74.2,1133.9,43.31,0,352.95000000000005,1,1,4553,0,0,1,0
1,70,1,1,0,0,0,59,1,10.78,1,1,15,0,0,0,0,1,1,0,1,1,93.85,5574.75,8.13,0,636.02,2,1,5390,0,0,0,0
1,76,1,1,0,1,3,46,1,49.11,1,1,17,1,1,1,0,1,0,0,1,1,100.7,4541.2,46.64,0,2259.06,1,1,5712,0,0,0,0
0,72,1,0,0,0,0,25,1,36.36,1,1,6,0,1,0,0,0,1,0,1,1,89.7,2187.55,23.33,0,909.0,3,1,4078,0,0,0,0
0,66,1,0,0,0,0,16,1,32.11,1,1,14,0,0,0,0,1,1,0,1,1,96.4,1581.2,47.2,0,513.76,3,1,2688,0,0,0,0
1,75,1,0,0,0,0,1,1,41.2,0,1,15,0,0,0,0,0,0,0,0,1,69.5,69.5,0.0,80,41.2,2,1,3273,0,0,0,0
1,65,1,1,0,1,1,36,1,24.54,1,1,5,0,0,0,0,0,1,1,1,1,85.25,3132.75,0.0,0,883.4399999999999,2,1,3041,0,0,1,0
1,79,1,0,0,0,0,45,1,10.67,0,1,17,1,0,1,0,0,1,0,1,0,62.7,2791.5,0.0,0,480.15,1,1,2654,1,0,1,0
1,73,1,0,0,0,0,25,1,46.34,1,1,22,0,1,1,0,1,1,0,1,0,105.95,2655.25,0.0,0,1158.5,2,1,4283,0,0,1,0
1,79,1,0,0,0,0,39,1,41.93,1,1,23,0,0,0,0,1,1,0,0,1,95.65,3759.05,0.0,150,1635.27,1,1,4892,0,0,0,0
0,70,1,1,0,1,1,31,1,47.95,0,1,21,0,0,1,1,1,1,0,1,1,98.9,2911.3,0.0,0,1486.45,2,1,4050,0,0,0,0
1,71,1,0,0,0,0,3,1,30.25,1,1,28,0,0,0,0,0,0,0,1,1,76.05,231.8,0.0,0,90.75,1,1,2930,0,0,0,0
1,69,1,0,0,0,0,1,1,33.84,0,1,5,0,0,0,0,0,0,0,1,1,69.75,69.75,0.0,0,33.84,1,1,5057,0,0,0,0
0,70,1,0,0,0,0,33,1,17.24,1,1,25,0,1,1,1,1,1,1,0,1,110.45,3655.45,0.0,70,568.92,1,1,3401,0,0,0,0
1,71,1,1,0,1,1,7,1,42.92,1,1,2,0,0,1,0,1,1,1,1,1,99.25,665.45,0.0,0,300.44,2,1,2487,0,0,0,0
